DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08
1/01/2019,,,0.06,0,0,,58,39,,,,,,1,,,,,
2/01/2019,,,0,0,0,,40,35,,,,,,,,,,,
3/01/2019,,,0,0,0,,44,37,,,,,,,,,,,
4/01/2019,,,0,0,0,,47,35,,,,,,,,,,,
5/01/2019,,,0.5,0,0,,47,41,,,,,,1,,,,,
6/01/2019,,,0,0,0,,49,31,,,,,,,,,,,
7/01/2019,,,0,0,0,,34,25,,,,,,,,,,,
8/01/2019,,,0.17,0,0,,45,34,,,,,,1,,,,,
9/01/2019,,,0.06,0,0,,45,34,,,,,,1,,,,,
10/01/2019,,,0,0,0,,34,28,,,,,,,,,,,
11/01/2019,,,0,0,0,,30,21,,,,,,,,,,,
12/01/2019,,,0,0,0,,34,20,,,,,,,,,,,
13/01/2019,,,0,0,0,,33,25,,,,,,,,,,,
14/01/2019,,,0,0,0,,32,22,,,,,,,,,,,
15/01/2019,,,0,0,0,,36,25,,,,,,,,,,,
16/01/2019,,,0,0,0,,39,30,,,,,,,,,,,1
17/01/2019,,,0,0,0,,33,24,,,,,,,,,,,
18/01/2019,,,0.05,0.5,1.2,,39,29,,,,,,1,,,,,1
19/01/2019,,,0.29,0.2,0,,37,32,,,,,,1,,,,,
20/01/2019,,,0.88,0,0,,42,14,,,,,,1,,,,,
21/01/2019,,,0,0,0,,14,4,,,,,,,,,,,
22/01/2019,,,0,0,0,,31,13,,,,,,,,,,,
23/01/2019,,,0,0,0,,52,31,,,,,,,,,,,
24/01/2019,,,1.33,0,0,,59,35,,,,,,1,,,,,
25/01/2019,,,0,0,0,,40,28,,,,,,,,,,,
26/01/2019,,,0,0,0,,35,24,,,,,,,,,,,
27/01/2019,,,0,0,0,,49,32,,,,,,,,,,,
28/01/2019,,,0,0,0,,38,25,,,,,,,,,,,
29/01/2019,,,0.23,0,0,,43,25,,,,,,1,,,,,
30/01/2019,,,0.01,0.4,0,,35,6,,,,,,1,,,,,
31/01/2019,,,0,0,0,,16,2,,,,,,,,,,,
1/02/2019,,,0,0,0,,21,11,,,,,,,,,,,
2/02/2019,,,0,0,0,,34,16,,,,,,,,,,,
3/02/2019,,,0,0,0,,53,33,,,,,,,,,,,1
4/02/2019,,,0,0,0,,61,41,,,,,,,,,,,
5/02/2019,,,0,0,0,,65,44,,,,,,,,,,,
6/02/2019,,,0.45,0,0,,46,35,,,,,,1,,,,,
7/02/2019,,,0.07,0,0,,44,39,,,,,,1,,,,,
8/02/2019,,,0.37,0,0,,55,32,,,,,,1,,,,,
9/02/2019,,,0,0,0,,32,23,,,,,,,,,,,
10/02/2019,,,0,0,0,,35,23,,,,,,,,,,,
11/02/2019,,,0,0,0,,38,30,,,,,,,,,,,
12/02/2019,,,0.75,1.2,0,,36,26,,,,,,1,,,,1,
13/02/2019,,,0.08,0,1.2,,41,33,,,,,,1,,,,,
14/02/2019,,,0,0,0,,46,33,,,,,,,,,,,
15/02/2019,,,0,0,0,,59,42,,,,,,,,,,,
16/02/2019,,,0,0,0,,47,32,,,,,,,,,,,
17/02/2019,,,0.04,0,0,,38,26,,,,,,1,,,,,
18/02/2019,,,0.09,0,0,,42,26,,,,,,1,,,,,
19/02/2019,,,0,0,0,,36,23,,,,,,,,,,,
20/02/2019,,,0.57,1.3,0,,33,26,,,,,,1,1,,,1,
21/02/2019,,,0.1,0,1.2,,52,33,,,,,,1,,,,1,
22/02/2019,,,0,0,0,,44,36,,,,,,,,,,,
23/02/2019,,,0.01,0,0,,42,32,,,,,,1,,,,,
24/02/2019,,,0.58,0,0,,47,36,,,,,,1,,,,,
25/02/2019,,,0,0,0,,43,28,,,,,,,,,,,
26/02/2019,,,0,0,0,,36,25,,,,,,,,,,,
27/02/2019,,,0,0,0,,31,23,,,,,,,,,,,
28/02/2019,,,0.03,0.1,0,,37,27,,,,,,1,,,,,
1/03/2019,,,0.11,1.4,1.2,,35,26,,,,,,1,1,,,,1
2/03/2019,,,0.53,4,3.9,,41,31,,,,,,1,,,,,1
3/03/2019,,,0.52,3,1.2,,42,33,,,,,,1,1,,,,
4/03/2019,,,0.29,2,3.9,,38,28,,,,,,1,1,,,,
5/03/2019,,,0,0,2,,32,20,,,,,,,,,,,
6/03/2019,,,0,0,1.2,,26,19,,,,,,,,,,,
7/03/2019,,,0,0,1.2,,32,18,,,,,,,,,,,
8/03/2019,,,0,0,0,,39,24,,,,,,,,,,,
9/03/2019,,,0,0,0,,49,34,,,,,,,,,,,
10/03/2019,,,0.54,0,0,,43,35,,,,,,1,,,,,1
11/03/2019,9.17,,0,0,0,,53,39,,340,20,17,25.9,,,,,,
12/03/2019,8.95,,0,0,0,,44,34,,290,290,17,30,,,,,,
13/03/2019,2.46,,0,0,0,,49,32,,130,140,8.1,15,,,,,,1
14/03/2019,2.91,,0,0,0,,57,42,,140,150,10.1,19,,,,,,
15/03/2019,2.24,,0.39,0,0,,75,49,,270,230,14.1,23,1,,1,,,
16/03/2019,10.07,,0,0,0,,58,37,,280,280,19.9,33.1,,,,,,
17/03/2019,6.26,,0,0,0,,45,34,,280,280,14.1,21.9,,,,,,
18/03/2019,2.01,,0,0,0,,46,32,,310,280,10.1,19,,,,,,
19/03/2019,3.13,,0,0,0,,51,35,,260,280,10.1,18.1,,,,,,
20/03/2019,2.91,,0,0,0,,53,37,,200,180,10.1,19.9,,,,,,
21/03/2019,7.83,,0.75,0,0,,46,41,,50,40,17,25.1,1,,,,,
22/03/2019,10.74,,0.68,0,0,,49,38,,40,40,21,38.9,1,,,,,
23/03/2019,9.84,,0,0,0,,48,35,,270,260,23,36,,,,,,
24/03/2019,4.47,,0,0,0,,60,38,,260,260,13,23,,,,,,
25/03/2019,4.25,,0,0,0,,56,42,,20,20,13,17,,,,,,
26/03/2019,7.83,,0,0,0,,49,33,,10,360,16.1,25.1,,,,,,
27/03/2019,4.03,,0,0,0,,47,34,,30,20,15,21,,,,,,
28/03/2019,1.57,,0,0,0,,53,37,,150,150,8.9,17,,,,,,
29/03/2019,2.01,,0,0,0,,59,49,,250,230,10.1,16.1,,,,,,
30/03/2019,3.36,,0,0,0,,70,52,,170,170,8.9,19,,,,,,
31/03/2019,5.82,,0.06,0,0,,65,39,,290,290,16.1,28,,,,,,1
1/04/2019,7.16,,0,0,0,,46,33,,270,310,16.1,29.1,,,,,,
2/04/2019,4.47,,0,0,0,,52,39,,50,50,14.1,21,,,,,,
3/04/2019,7.38,,0,0,0,,67,41,,270,270,21.9,38,,,,,,
4/04/2019,6.71,,0,0,0,,60,44,,290,300,15,27.1,,,,,,
5/04/2019,5.82,,0.2,0,0,,45,38,,50,60,16.1,21.9,1,,,,,
6/04/2019,3.36,,0,0,0,,68,39,,300,300,13,19,1,,,,,1
7/04/2019,1.57,,0,0,0,,66,51,,190,190,8.9,19.9,,,,,,
8/04/2019,3.58,,0.26,0,0,,79,49,,50,250,15,23,1,,,,,1
9/04/2019,2.91,,0.03,0,0,,51,46,,90,140,10.1,17,1,,1,,,1
10/04/2019,6.49,,0,0,0,,60,45,,300,290,14.1,25.1,1,,,,,1
11/04/2019,3.13,,0,0,0,,55,40,,20,20,14.1,21.9,,,,,,
12/04/2019,3.8,,0.63,0,0,,68,46,,50,190,8.9,16.1,1,,,,,
13/04/2019,2.91,,0.24,0,0,,77,59,,260,190,8.9,21.9,1,,,,,1
14/04/2019,1.57,,0.01,0,0,,73,60,,240,170,8.9,16.1,1,,,,,1
15/04/2019,8.5,,0.96,0,0,,65,46,,270,280,23.9,38.9,1,,1,,,
16/04/2019,9.4,,0,0,0,,66,44,,280,270,17,31.1,,,,,,
17/04/2019,3.13,,0.01,0,0,,63,48,,50,190,12.1,16.1,,,,,,
18/04/2019,3.58,,0,0,0,,62,51,,130,140,10.1,19.9,,,,,,
19/04/2019,3.36,,0.01,0,0,,80,58,,160,140,8.9,18.1,1,,,,,1
20/04/2019,3.8,,0.7,0,0,,64,55,,160,,6.9,,,,,,,1
21/04/2019,3.36,,0,0,0,,66,53,,150,150,10.1,19,,,,,,
22/04/2019,4.47,,0.24,0,0,,64,52,,360,50,12.1,19.9,1,,,,,1
23/04/2019,2.01,,0.08,0,0,,77,56,,140,220,8.9,16.1,1,,,,,
24/04/2019,5.82,,0,0,0,,69,55,,300,300,15,23.9,,,,,,
25/04/2019,3.36,,0.02,0,0,,66,48,,40,60,10.1,16.1,,,,,,
26/04/2019,4.92,,1.03,0,0,,59,51,,50,270,14.1,23,1,1,,,,
27/04/2019,6.93,,0.07,0,0,,58,47,,270,290,21,34,1,,,,,
28/04/2019,3.8,,0.01,0,0,,53,45,,360,360,12.1,19.9,,,,,,
29/04/2019,2.68,,0.01,0,0,,60,41,,140,160,10.1,16.1,1,,,,,
30/04/2019,2.01,,0.04,0,0,,60,48,,60,60,10.1,14.1,1,,,,,1
1/05/2019,2.46,,0,0,0,,56,50,,140,140,8.9,16.1,1,,,,,
2/05/2019,2.68,,0.01,0,0,,78,50,,130,140,12.1,21,1,,,,,1
3/05/2019,2.46,,0.06,0,0,,56,50,,40,90,8.9,13,1,,1,,,1
4/05/2019,1.12,,0.11,0,0,,71,53,,50,80,6.9,11,1,,,,,1
5/05/2019,7.16,,1.31,0,0,,58,51,,50,50,17,25.9,1,,,,,
6/05/2019,4.03,,0,0,0,,74,51,,40,40,13,19,,,,,,
7/05/2019,1.34,,0.11,0,0,,70,52,,360,150,8.9,15,1,,,,,
8/05/2019,4.47,,0,0,0,,71,55,,30,50,10.1,17,1,,,,,
9/05/2019,5.59,,0,0,0,,61,53,,50,50,16.1,25.1,,,,,,
10/05/2019,1.57,,0.04,0,0,,73,56,,130,140,10.1,21,1,,,,,
11/05/2019,3.13,,0.04,0,0,,69,56,,280,300,10.1,17,1,,,,,
12/05/2019,8.5,,1.32,0,0,,59,43,,60,50,18.1,31.1,1,,,,,
13/05/2019,5.59,,0.7,0,0,,48,42,,50,50,15,23,1,,,,,
14/05/2019,2.24,,0.3,0,0,,52,44,,280,280,8.1,13,1,,,,,
15/05/2019,3.8,,0.01,0,0,,69,44,,250,300,10.1,19.9,1,,,,,
16/05/2019,2.68,,0.12,0,0,,73,52,,280,270,13,19,1,,,,,
17/05/2019,4.92,,0.03,0,0,,76,60,,250,230,13,21,1,,,,,
18/05/2019,2.68,,0,0,0,,75,56,,140,140,8.9,16.1,,,,,,
19/05/2019,2.91,,0.06,0,0,,76,60,,140,150,12.1,21.9,1,,1,,,
20/05/2019,5.37,,0,0,0,,85,66,,240,210,18.1,32,1,,1,,,
21/05/2019,5.82,,0,0,0,,71,56,,290,300,15,29.1,,,,,,
22/05/2019,4.25,,0,0,0,,74,54,,50,70,13,17,,,,,,
23/05/2019,4.03,,0.48,0,0,,72,55,,240,230,14.1,19.9,1,,,,,
24/05/2019,7.61,,0,0,0,,73,61,,300,320,18.1,32,,,,,,
25/05/2019,4.03,,0,0,0,,71,55,,150,150,12.1,21.9,,,,,,
26/05/2019,4.25,,0.2,0,0,,86,59,,280,260,12.1,19,1,,1,,,1
27/05/2019,3.58,,0,0,0,,80,64,,40,70,13,17,,,,,,
28/05/2019,4.25,,0.17,0,0,,71,62,,60,150,12.1,18.1,1,,1,,,
29/05/2019,4.7,,0.8,0,0,,70,56,,90,110,12.1,18.1,1,,1,,,1
30/05/2019,2.01,,0.95,0,0,,70,57,,140,160,8.9,15,1,,1,,,1
31/05/2019,2.68,,0,0,0,,80,63,,250,290,10.1,15,1,,,,,
1/06/2019,2.68,,0,0,0,,80,63,,150,150,8.9,16.1,,,,,,1
2/06/2019,3.8,,0.86,0,0,,81,61,,260,220,12.1,25.1,1,1,1,,,1
3/06/2019,5.37,,0,0,0,,70,58,,280,270,15,23.9,,,,,,
4/06/2019,3.8,,0,0,0,,70,54,,250,240,12.1,23,,,,,,
5/06/2019,4.47,,0,0,0,,81,64,,230,240,14.1,25.9,,,,,,
6/06/2019,4.7,,0.04,0,0,,83,68,,50,270,12.1,21,1,,,,,
7/06/2019,2.24,,0,0,0,,81,66,,60,20,8.1,13,,,,,,1
8/06/2019,6.26,,0,0,0,,81,63,,50,60,16.1,25.1,1,,,,,1
9/06/2019,6.49,,0,0,0,,78,60,,60,130,14.1,19.9,,,,,,
10/06/2019,6.71,,0.62,0,0,,70,60,,50,50,15,19.9,1,,,,,
11/06/2019,6.26,,0.45,0,0,,77,63,,300,280,15,25.9,1,,,,,
12/06/2019,4.03,,0,0,0,,74,59,,140,160,12.1,19.9,,,,,,
13/06/2019,5.82,,0.6,0,0,,65,55,,50,50,21.9,31.1,1,,,,,
14/06/2019,6.04,,0,0,0,,73,58,,270,290,17,25.9,1,,,,,
15/06/2019,4.47,,0,0,0,,81,60,,220,220,15,25.1,,,,,,
16/06/2019,5.14,,0.04,0,0,,80,65,,230,220,15,23,,,,,,
17/06/2019,1.34,,0,0,0,,76,69,,30,40,10.1,17,,,,,,
18/06/2019,1.79,,0.79,0,0,,73,67,,60,160,10.1,14.1,1,,,,,
19/06/2019,2.91,,0.11,0,0,,71,66,,70,140,8.1,13,1,,,,,1
20/06/2019,3.13,,0.42,0,0,,78,65,,240,230,8.1,14.1,1,,1,,,1
21/06/2019,5.14,,0.53,0,0,,77,65,,300,290,15,25.1,1,,,,,1
22/06/2019,5.59,,0,0,0,,79,61,,300,300,15,23.9,,,,,,1
23/06/2019,4.7,,0,0,0,,83,64,,280,210,12.1,19.9,,,,,,
24/06/2019,1.79,,0,0,0,,84,67,,200,230,8.1,17,,,,,,
25/06/2019,2.01,,0.86,0,0,,84,72,,270,250,8.1,12.1,1,1,1,,,1
26/06/2019,3.13,,0,0,0,,87,72,,250,220,8.9,15,1,,,,,
27/06/2019,2.68,,0,0,0,,89,71,,230,300,10.1,19,,,,,,
28/06/2019,2.46,,0,0,0,,89,73,,210,220,10.1,15,,,,,,
29/06/2019,4.7,,0.08,0,0,,91,72,,230,220,14.1,21.9,1,,1,,,
30/06/2019,5.14,,0.06,0,0,,83,69,,330,360,21,36.9,,,,,,
1/07/2019,4.47,,0,0,0,,85,65,,280,60,10.1,15,,,,,,1
2/07/2019,2.46,,0.02,0,0,,85,71,,270,330,8.9,14.1,,,,,,
3/07/2019,1.79,,0,0,0,,87,75,,60,70,10.1,13,,,,,,
